segment,servers_judged,category,servers_with_finding,pct
popular_1000plus_weekly,252,credential_access,33,13.1
popular_1000plus_weekly,252,install_script,26,10.3
popular_1000plus_weekly,252,network_egress,20,7.9
popular_1000plus_weekly,252,prompt_injection_surface,5,2.0
popular_1000plus_weekly,252,excessive_permission,2,0.8
popular_1000plus_weekly,252,other,1,0.4
longtail_1_to_999_weekly,661,credential_access,73,11.0
longtail_1_to_999_weekly,661,network_egress,42,6.4
longtail_1_to_999_weekly,661,prompt_injection_surface,26,3.9
longtail_1_to_999_weekly,661,install_script,26,3.9
longtail_1_to_999_weekly,661,other,6,0.9
longtail_1_to_999_weekly,661,excessive_permission,4,0.6
no_download_signal,1261,credential_access,332,26.3
no_download_signal,1261,prompt_injection_surface,143,11.3
no_download_signal,1261,network_egress,142,11.3
no_download_signal,1261,install_script,120,9.5
no_download_signal,1261,other,78,6.2
no_download_signal,1261,excessive_permission,9,0.7
no_download_signal,1261,obfuscation,3,0.2
all,2174,credential_access,438,20.1
all,2174,network_egress,204,9.4
all,2174,prompt_injection_surface,174,8.0
all,2174,install_script,172,7.9
all,2174,other,85,3.9
all,2174,excessive_permission,15,0.7
all,2174,obfuscation,3,0.1

